_id,route,route_name,current_garage,mode,month_start,year_month,day_type,on_time_percent,data_source
19821,61A,61A - NORTH BRADDOCK,West Mifflin,Bus,8/1/23,202308,WEEKDAY,0.6102,Clever
19822,61B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,8/1/23,202308,SAT.,0.6945,Clever
19823,61B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,8/1/23,202308,SUN.,0.7206,Clever
19824,61B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,8/1/23,202308,WEEKDAY,0.6008,Clever
19825,61C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,8/1/23,202308,SAT.,0.5596,Clever
19826,61C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,8/1/23,202308,SUN.,0.5281,Clever
19827,61C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,8/1/23,202308,WEEKDAY,0.4938,Clever
19828,61D,61D - MURRAY,West Mifflin,Bus,8/1/23,202308,SAT.,0.6373,Clever
19829,61D,61D - MURRAY,West Mifflin,Bus,8/1/23,202308,SUN.,0.531,Clever
19830,61D,61D - MURRAY,West Mifflin,Bus,8/1/23,202308,WEEKDAY,0.623,Clever
19831,64,64 - LAWRENCEVILLE - WATERFRONT,West Mifflin,Bus,8/1/23,202308,SAT.,0.5169,Clever
19832,64,64 - LAWRENCEVILLE - WATERFRONT,West Mifflin,Bus,8/1/23,202308,SUN.,0.5433,Clever
19833,64,64 - LAWRENCEVILLE - WATERFRONT,West Mifflin,Bus,8/1/23,202308,WEEKDAY,0.5659,Clever
19834,65,65 - SQUIRREL HILL,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.319,Clever
19835,67,67 - MONROEVILLE,East Liberty,Bus,8/1/23,202308,SAT.,0.4171,Clever
19836,67,67 - MONROEVILLE,East Liberty,Bus,8/1/23,202308,SUN.,0.6113,Clever
19837,67,67 - MONROEVILLE,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.5389,Clever
19838,69,69 - TRAFFORD,East Liberty,Bus,8/1/23,202308,SAT.,0.6492,Clever
19839,69,69 - TRAFFORD,East Liberty,Bus,8/1/23,202308,SUN.,0.7712,Clever
19840,69,69 - TRAFFORD,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.4807,Clever
19841,7,7 - SPRING GARDEN,Ross,Bus,8/1/23,202308,WEEKDAY,0.6819,Clever
19842,71,71 - EDGEWOOD TOWN CENTER,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.7731,Clever
19843,71A,71A - NEGLEY,East Liberty,Bus,8/1/23,202308,SAT.,0.6371,Clever
19844,71A,71A - NEGLEY,East Liberty,Bus,8/1/23,202308,SUN.,0.5159,Clever
19845,71A,71A - NEGLEY,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.5609,Clever
19846,71B,71B - HIGHLAND PARK,East Liberty,Bus,8/1/23,202308,SAT.,0.6401,Clever
19847,71B,71B - HIGHLAND PARK,East Liberty,Bus,8/1/23,202308,SUN.,0.6836,Clever
19848,71B,71B - HIGHLAND PARK,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.6046,Clever
19849,71C,71C - POINT BREEZE,East Liberty,Bus,8/1/23,202308,SAT.,0.6382,Clever
19850,71C,71C - POINT BREEZE,East Liberty,Bus,8/1/23,202308,SUN.,0.5166,Clever
19851,71C,71C - POINT BREEZE,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.5644,Clever
19852,71D,71D - HAMILTON,East Liberty,Bus,8/1/23,202308,SAT.,0.6674,Clever
19853,71D,71D - HAMILTON,East Liberty,Bus,8/1/23,202308,SUN.,0.5998,Clever
19854,71D,71D - HAMILTON,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.5865,Clever
19855,74,74 - HOMEWOOD-SQUIRREL HILL,East Liberty,Bus,8/1/23,202308,SAT.,0.3966,Clever
19856,74,74 - HOMEWOOD-SQUIRREL HILL,East Liberty,Bus,8/1/23,202308,SUN.,0.7048,Clever
19857,74,74 - HOMEWOOD-SQUIRREL HILL,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.6406,Clever
19858,75,75 - ELLSWORTH,East Liberty,Bus,8/1/23,202308,SAT.,0.6577,Clever
19859,75,75 - ELLSWORTH,East Liberty,Bus,8/1/23,202308,SUN.,0.6603,Clever
19860,75,75 - ELLSWORTH,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.5698,Clever
19861,77,77 - PENN HILLS,East Liberty,Bus,8/1/23,202308,SAT.,0.5989,Clever
19862,77,77 - PENN HILLS,East Liberty,Bus,8/1/23,202308,SUN.,0.5209,Clever
19863,77,77 - PENN HILLS,East Liberty,Bus,8/1/23,202308,WEEKDAY,0.466,Clever
19864,79,79 - EAST HILLS,East Liberty,Bus,8/1/23,202308,SAT.,0.6303,Clever
